Date,Username,Comment,Like
2025-10-27T12:39:47Z,@sandhikagalihWPU,konteks di video saya adalah untuk belajar fundamental/dasar2 programming. AI/LLM bisa digunakan sebagai tutor/teman belajar,0
2025-10-22T16:42:02Z,@deviardiana2880,Untuk basic ada Pa?,0
2025-10-22T14:01:57Z,@winartoit,"saya meminta ai bikin coding dari a sampai z, dan nyus jalan lancar jaya menakjubkan, tiba tiba ada bug dan saya bengong gmn perbaikinya",0
2025-10-22T09:14:36Z,@DediAnanto,"bener baget kalimat &#39;kuatin pondasi&#39;, saya juga gak suka dan malah heran dengan beberapa individu yang dengan bangga share hasil kerjaan mereka yang di kerjakan oleh AI di sosmed seperti linkedin. bahkan banyak yang menuliskan selesai dalam 1 atau 2 hari atau bahkan hitungan jam dan yang mereka lakukan hanya memberikan perintah. tanpa mereka benar-benar tau bagaimana setiap code didalam project tersebut berjalan. niatnya buat ningkatin brandingan sebagai programmer, tapi menurut saya malah itu menurunkan. seperti kata pak dika. boleh sebenarnya memakai AI, tapi pemanfaatannya harusnya lebih sebagai partner untuk menvalidasi, seperti kita sudah membuat project nya sendiri, kemudian ada issue, minta AI untuk menganalisa dimana bug/potensi issue bisa terjadi. fundamental itu penting banget, dan setiap bahasa pemrograman juga punya flow nya masing2. jangan karena kita udah ngerti if, switch, for, while di php. terus dengan entengnya bilang bisa mengerjakan project berbasis go, yang nantinya cuman akan melakukan vibe coding. tar begitu ada issue bingung deh. terus waktu mau benerin bingung lagi. apalagi kalo pake mindset bahasa pemrograman sebelumnya. oh di php tinggal aku kasih default value aja di argument functionnya. nah terus waktu mau nerapin di go gak bisa. jadi please temen-temen... pelajari dulu fundamentalnya, kalo abis itu udah terbiasa, udah ngerti, boleh lah pake AI buat ningkatin produktivitas dan mempercepat development",0
2025-10-22T03:33:10Z,@rakannaufalihsan8071,bankAI,0
2025-10-22T00:17:21Z,@MuhammadNasrullah-ho4of,"Saya pernah lihat WPU Course bapak di laptop teman isinya sangat bagus, teman bisa sambil belajar sambil bikin aplikasi jadi, saya yang berbulan2 belajar di youtube masih banyak kesulitan, semoga ada rejeki bisa ikut WPU Course",1
2025-10-21T19:21:58Z,@ahmadhapiz7262,"Saya termasuk praktisi yang sering melakukan vibe coding. Menurut saya emang berbahaya buat yang bener bener pemula. Mereka yg gak faham fundamental best oracticenya atau istilah istilah dalam dunia coding. Tapi tentu karena dunia terus berkembang pada akhirnya akan ada pergeseran metode seorang programmer bekerja. Bekerja ya bukan belajar. Karena kalau vibe coding tuh cocok tapi tentunya harus punya planning yg matang, tau step by stepnya dan mengerti insilah best oracticenya.",0
2025-10-21T17:28:20Z,@yosuajuliando,"Hal sederhana gimana tau programmer yg udh lama, dan programmer instan itu, dapat dilihat dari struktur projectnya, kalau yg gk punya fundamental atau gk pernah bikin project sebelumnya, itu cendrung ditumpuk-tumpuk campur aduk-aduk sakaratul maut 😂",0
2025-10-21T16:25:25Z,@bembengid,"Setuju pak, Vibe coding cuma bagus untuk task iterasi, tapi iterasi pertama dan kedua WAJIB kita yang buat, setelahnya 3-4-5 baru bisa pakai AI, misal bikin CRUD. Ya table awalnya harus kita yang bikin, next table dengan pattern yg sama bagus pakai AI untuk MEMPERCEPAT kerja kita.<br><br>Vibe code juga cocok banget buat TAHAP AKHIR ketika code dirasa sudah oke, lalu kita males bikin UNIT TEST, kita bisa bikin 1-2 unit test sendiri, setelah coverage bikinan kita &gt; 80% , tinggal suruh dia lanjutin untuk task lainnya. Ketika kita sudah senior, kita justru memperbudak AI, tapi kalau masih Junior maka kalian akan di perbudak AI",1
2025-10-21T03:42:43Z,@zikriirfandi,"Saya senang Vibe Coding, serasa punya asisten junior programmer yang puinter banget.",0
